id,productType,name,name.en,name.en-GB,brand,price_amount,currency_code,quantity_amount,quantity_uom,display_price,display_price_qualifier,product_id,product_name,product_image_url_xl,product_image_url_l,product_image_url_m,product_image_url_s,reviews_average_rating,reviews_review_count,size,typical_weight__amount,typical_weight__uom,typical_weight,servings,metaData,lifestyle_goals_vegan,lifestyle_goals_vegetarian,allergy_goals_nuts,uom,allergens,lifestyle,preferences,image-1000,image-200,Image-400,Image-512,skuid,Raw_Materials_Sourcing_Rating,Energy_Efficiency_Rating,Packaging_Rating,Transport_Rating,Social_Impact_Rating,Overall_Rating,image-400,image-512,availabiltyMode,personalize
ovmdlvfqwue7mn7w0gpsst,WaitroseType,Waitrose Adult Grain Free Chicken & Sweet Pota,Waitrose Adult Grain Free Chicken & Sweet Pota,Waitrose Adult Grain Free Chicken & Sweet Pota,Waitrose Ltd,6.9,GBP,1,C62,£6.90,34.5p/100g,797762-767673-767674,Waitrose Adult Grain Free Chicken & Sweet Pota,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_797762_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_797762_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_797762_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_797762_BP_9.jpg,4.7,10,2kg,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
pzaf98o5ycb6q2an4o9md7,WaitroseType,Waitrose After Dinner Collection,Waitrose After Dinner Collection,Waitrose After Dinner Collection,Waitrose Ltd,4,GBP,1,C62,£4.00,£3.81/100g,410349-758984-758985,Waitrose After Dinner Collection,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_410349_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_410349_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_410349_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_410349_BP_9.jpg,4.1429,14,105g,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
musowf0ghygqmt404ga1a,WaitroseType,Waitrose aged balsamic & olive oil dressing,Waitrose aged balsamic & olive oil dressing,Waitrose aged balsamic & olive oil dressing,Waitrose Ltd,1.3,GBP,1,C62,£1.30,86.7p/100ml,651057-420329-420330,Waitrose aged balsamic & olive oil dressing,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_651057_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_651057_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_651057_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_651057_BP_9.jpg,3.5357,28,150ml,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
pqjby97u5xrqc54fzlaq8h,WaitroseType,Waitrose albacore tuna in extra virgin olive oil,Waitrose albacore tuna in extra virgin olive oil,Waitrose albacore tuna in extra virgin olive oil,Waitrose Ltd,3.65,GBP,1,C62,£3.65,£2.44/100g,749886-106646-106647,Waitrose albacore tuna in extra virgin olive oil,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_749886_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_749886_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_749886_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_749886_BP_9.jpg,4.4023,87,drained 150g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
fqiulbtbc0kshdpldhcjhb,WaitroseType,Waitrose Albacore Tuna in Spring Water,Waitrose Albacore Tuna in Spring Water,Waitrose Albacore Tuna in Spring Water,Waitrose Ltd,3.65,GBP,1,C62,£3.65,£2.44/100g,619706-87952-87953,Waitrose Albacore Tuna in Spring Water,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_619706_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_619706_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_619706_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_619706_BP_9.jpg,4.449,49,drained 150g,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
cn7hjuo8pa92wfb8tdjcw8,WaitroseType,Waitrose All Butter Cheddar Cheese Nibbles,Waitrose All Butter Cheddar Cheese Nibbles,Waitrose All Butter Cheddar Cheese Nibbles,Waitrose Ltd,2.1,GBP,1,C62,£2.10,£2.10/100g,556893-753905-753906,Waitrose All Butter Cheddar Cheese Nibbles,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_556893_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_556893_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_556893_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_556893_BP_9.jpg,4.4706,17,100g,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
cgxver4g61tbbco5jezixq,WaitroseType,Waitrose all butter cheese twists,Waitrose all butter cheese twists,Waitrose all butter cheese twists,Waitrose Ltd,1.7,GBP,1,C62,£1.36,£1.09/100g,098343-50137-50138,Waitrose all butter cheese twists,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_098343_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_098343_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_098343_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_098343_BP_9.jpg,4.3314,175,125g,,,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,
h05e8wjqfd6rszpp26jyrh,WaitroseType,Waitrose All Butter Kalamata Olive Twists,Waitrose All Butter Kalamata Olive Twists,Waitrose All Butter Kalamata Olive Twists,Waitrose Ltd,2.2,GBP,1,C62,£1.76,£1.41/100g,406991-57255-57256,Waitrose All Butter Kalamata Olive Twists,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_406991_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_406991_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_406991_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_406991_BP_9.jpg,4.439,41,125g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
n0qpar177sr2f3imd54cgm,WaitroseType,Waitrose All Butter Matured Gouda Cheese,Waitrose All Butter Matured Gouda Cheese,Waitrose All Butter Matured Gouda Cheese,Waitrose Ltd,2.4,GBP,1,C62,£2.40,£3/100g,417457-753439-753440,Waitrose All Butter Matured Gouda Cheese,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_417457_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_417457_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_417457_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_417457_BP_9.jpg,4.6,10,80g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
q1mlg61g1siy7ewywuy7ch,WaitroseType,Waitrose All Butter Sun Dried Tomato Bites,Waitrose All Butter Sun Dried Tomato Bites,Waitrose All Butter Sun Dried Tomato Bites,Waitrose Ltd,2.3,GBP,1,C62,£2.30,£2.30/100g,805025-754825-754826,Waitrose All Butter Sun Dried Tomato Bites,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_805025_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_805025_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_805025_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_805025_BP_9.jpg,4.9231,13,100g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
